Frame_Num,Time_Stamp,Real_Speed,Belt_Speed,Kalman_X_Pos,Kalman_Y_Pos
0,1528479678.673522,0.2906463348198002,0.28,-0.08167133947588633,-0.016158791545377173
1,1528479678.677523,0.2895772385842444,0.28,-0.08177819257507139,-0.016226213488331843
2,1528479678.681522,0.2878512892880838,0.28,-0.08197928520278651,-0.01631378705973981
3,1528479678.685525,0.2861235906842242,0.28,-0.08218058164464764,-0.016401449389909714
4,1528479678.689525,0.2843972297862521,0.28,-0.08238172222863241,-0.016489043845732253
5,1528479678.693521,0.282672515295526,0.28,-0.08258267098753858,-0.016576554763896502
6,1528479678.697532,0.2809414209767214,0.28,-0.08278436306862434,-0.01666438939048663
7,1528479678.70156,0.27920291782530937,0.28,-0.08298691836256382,-0.016752599936539072
8,1528479678.70554,0.27748520056537923,0.28,-0.08318705186488591,-0.01683975581965558
9,1528479678.70955,0.2757545178483861,0.28,-0.08338869598970201,-0.016927569561831137
10,1528479678.713555,0.2740258931404506,0.28,-0.08359010033316987,-0.01701527888193383
11,1528479678.717553,0.27230045834655436,0.28,-0.08379113301554793,-0.01710282634782358
12,1528479678.721548,0.27057615545763986,0.28,-0.08399203381818444,-0.017190316381573256
13,1528479678.72556,0.2688446495370237,0.28,-0.08419377385553985,-0.017278171892577958
14,1528479678.729553,0.2671212727521851,0.28,-0.08439456675656964,-0.017365614936394845
15,1528479678.733553,0.265394911854213,0.28,-0.08459570734055442,-0.017453209392217384
16,1528479678.737554,0.2636680364539764,0.28,-0.08479690786987625,-0.01754082995355814
17,1528479678.741554,0.2620861466895862,0.28,-0.0849874966043425,-0.017626569949135588
18,1528479678.74556,0.26206424843250253,0.28,-0.08506425887309259,-0.017692383089343837
19,1528479678.749553,0.26204242055429533,0.28,-0.08514077443534865,-0.017757984712496303
20,1528479678.753562,0.2620205053541488,0.28,-0.08521759609640285,-0.01782384877347724
21,1528479678.757568,0.26199860709706513,0.28,-0.08529435836515295,-0.017889661913685486
22,1528479678.761552,0.2619768274414214,0.28,-0.08537070488777422,-0.017955118608484918
23,1528479678.765553,0.26195495655390083,0.28,-0.08544737121510997,-0.018020849492060363
24,1528479678.769555,0.26193307914981756,0.28,-0.0855240603856396,-0.01808659996054838
25,1528479678.773557,0.26191120304904686,0.28,-0.08560074498753047,-0.01815234651205388
26,1528479678.777561,0.26188931521846337,0.28,-0.08567747070717033,-0.018218128316402012
27,1528479678.78156,0.261867454757443,0.28,-0.08575410048539585,-0.01828382786411734
28,1528479678.785561,0.26184558256660984,0.28,-0.08583077138137038,-0.0183495626646753
29,1528479678.789563,0.26182370646583913,0.28,-0.08590745598326123,-0.0184153092161808
30,1528479678.79356,0.261801856431319,0.28,-0.08598404921237654,-0.018480977428036012
31,1528479678.797559,0.2617799959702986,0.28,-0.08606067899060206,-0.018546676975751342
32,1528479678.801563,0.2617581081397151,0.28,-0.08613740471024192,-0.018612458780099473
33,1528479678.805548,0.26173632457413387,0.28,-0.08621376493877952,-0.01867792722584645
34,1528479678.809564,0.26169659459507927,0.28,-0.08629292285345383,-0.018736286224087226
35,1528479678.813834,0.26155894669679364,0.28,-0.08638888457069076,-0.018757418355928555
36,1528479678.817579,0.26143821560146335,0.28,-0.08647305267914783,-0.018775953367764147
37,1528479678.821584,0.26130910680725916,0.28,-0.08656306132989025,-0.018795774549888816
38,1528479678.825585,0.26118012867441365,0.28,-0.0866529788896062,-0.018815575672476867
39,1528479678.829584,0.26105121202926623,0.28,-0.08674285358295675,-0.01883536735528298
40,1528479678.833578,0.2609224491033642,0.28,-0.0868326211103938,-0.018855135438634242
41,1528479678.837578,0.2607935017143677,0.28,-0.08692251723692705,-0.018874931841331325
42,1528479678.841586,0.2606642930026541,0.28,-0.08701259554551323,-0.018894768363101642
43,1528479678.84559,0.260535214952299,0.28,-0.08710258276307295,-0.01891458482533534
44,1528479678.849579,0.2604066211175669,0.28,-0.08719223240800517,-0.018934326949286276
45,1528479678.853583,0.26027754306721185,0.28,-0.08728221962556489,-0.018954143411519978
46,1528479678.857598,0.26014811146259237,0.28,-0.08737245332472562,-0.01897401415249982
47,1528479678.86159,0.26001942539631306,0.28,-0.08746216726920594,-0.01899377043612366
48,1528479678.865583,0.25989070090022237,0.28,-0.08755190800516463,-0.019013532619611216
49,1528479678.869602,0.2597611386342443,0.28,-0.08764223279535184,-0.01903342342012768
50,1528479678.873589,0.2596326062872104,0.28,-0.08773183957391865,-0.019053156104296677
51,1528479678.877588,0.2583054073020015,0.28,-0.08799717254258187,-0.019004833909216035
52,1528479678.881584,0.256011984838275,0.28,-0.08840392958221024,-0.018901567722371965
53,1528479678.885585,0.25371555191546713,0.28,-0.08881122055112692,-0.018798165983254
54,1528479678.889593,0.25141528749928316,0.28,-0.0892191910664105,-0.01869459172306016
55,1528479678.893594,0.24911885457647534,0.28,-0.08962648203532718,-0.018591189983942193
56,1528479678.897591,0.24682474791750303,0.28,-0.09003336042252108,-0.018487892989763145
57,1528479678.901593,0.24452790447754777,0.28,-0.09044072419997706,-0.018384472766244192
58,1528479678.90559,0.24223379781857546,0.28,-0.09084760258717095,-0.018281175772065148
59,1528479678.909591,0.2399375017348168,0.28,-0.09125486928657452,-0.018177780194414177
60,1528479678.913593,0.23764052145581238,0.28,-0.0916622573335436,-0.018074353809428227
61,1528479678.917597,0.23534244646441477,0.28,-0.09206983953661753,-0.017970878132706314
62,1528479678.921595,0.2330477924492459,0.28,-0.09247681500186385,-0.017867556492659288
63,1528479678.925607,0.2307452017692264,0.28,-0.0928851980988702,-0.017763877487526523
