The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00401.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00401.png,183.02941176470588,883.1294117647059,132.4471153846154,1115.8076923076924,259.1736111111111,1005.9861111111111,225.10382513661202,1246.3387978142077,398.9655172413793,961.3931034482758,372.4756097560976,1179.7317073170732,369.42391304347825,1127.679347826087,356.99,1334.52,477.07236842105266,1111.8684210526317,457.363184079602,1319.995024875622
1,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00402.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00402.png,188.5,875.1573033707865,125.08333333333333,1121.1166666666666,245.12707182320443,987.2044198895028,212.11184210526315,1252.5986842105262,395.78061224489795,953.469387755102,367.7455621301775,1176.0355029585799,370.2437810945274,1120.6567164179105,351.43333333333334,1336.1944444444443,470.46268656716416,1100.6218905472638,453.2679245283019,1311.0264150943397
2,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00403.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00403.png,182.78439716312056,870.309219858156,124.63215859030836,1116.285242290749,248.4378947368421,984.6463157894736,211.62989323843416,1259.5338078291816,393.7951219512195,948.4439024390244,370.0444444444444,1172.2407407407406,370.0980392156863,1114.8480392156862,354.036036036036,1328.5855855855855,470.72131147540983,1089.2459016393443,456.0574712643678,1302.0977011494253
3,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00404.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00404.png,188.04449152542372,863.0466101694915,120.94657534246576,1110.795890410959,249.1373801916933,977.0958466453674,215.6219512195122,1257.4268292682927,390.62555066079295,944.2114537444934,366.02173913043475,1170.8858695652175,371.56768558951967,1107.0524017467249,347.5722222222222,1324.9777777777779,471.0979020979021,1076.062937062937,456.31612903225806,1289.9870967741936
4,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00405.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00405.png,171.42477876106193,857.5176991150443,122.44236311239193,1122.064841498559,249.12418300653596,972.375816993464,217.44,1264.0533333333333,388.11210762331837,938.6322869955156,363.64397905759165,1168.282722513089,371.61306532663315,1102.6834170854272,355.25581395348837,1314.5232558139535,471.7153284671533,1062.1605839416059,446.248031496063,1278.236220472441
5,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00406.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00406.png,180.49896907216495,856.8494845360825,116.60759493670886,1119.5854430379748,239.9402697495183,967.917148362235,213.8978978978979,1252.7327327327328,386.8672566371681,932.5619469026549,359.61650485436894,1164.9805825242718,374.9646464646465,1092.419191919192,356.5189873417722,1307.1835443037974,462.2191011235955,1051.5280898876404,446.1872509960159,1268.386454183267
6,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00407.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00407.png,169.40854326396496,864.5443592552026,115.93614130434783,1117.7880434782608,245.15060240963857,964.3765060240964,212.68722466960352,1260.2775330396476,382.555,924.78,357.6062176165803,1161.1088082901554,377.5511363636364,1086.7443181818182,358.4207317073171,1298.8475609756097,463.978835978836,1037.1904761904761,441.08092485549133,1252.5606936416184
7,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00408.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00408.png,166.42291950886766,861.1541609822647,114.61971830985915,1113.9507042253522,234.6678507992895,961.461811722913,210.4731707317073,1259.6341463414635,381.6470588235294,918.9683257918552,354.9047619047619,1157.851851851852,381.7304347826087,1075.9391304347826,360.92198581560285,1288.9219858156027,463.34010152284264,1022.9086294416244,441.66269841269843,1238.0873015873017
8,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00409.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00409.png,165.52285714285713,855.3328571428572,106.33371824480369,1102.6801385681292,240.23099415204678,955.1812865497076,205.0513833992095,1251.5217391304348,380.26291079812205,912.6150234741784,352.08092485549133,1155.5722543352601,385.7621951219512,1068.841463414634,362.44444444444446,1283.1555555555556,463.35,1008.42,442.1363636363636,1222.4863636363636
9,/home/elec/Desktop/Aging/Week0/rat3/cam3/2018-06-08_14_59_11/frame00410.png,/home/elec/Desktop/Aging/Week0/rat3/cam4/2018-06-08_14_59_11/frame00410.png,162.0061823802164,852.8176197836167,102.28761061946904,1095.6120943952803,230.73287671232876,952.6438356164383,207.37113402061857,1251.1907216494844,378.6875,903.953125,344.33093525179856,1161.0431654676258,390.11170212765956,1055.7978723404256,360.53921568627453,1269.872549019608,464.1928934010152,994.0558375634517,436.70198675496687,1208.6225165562914
