Frame_Num,Time_Stamp,Real_Speed,Belt_Speed,Kalman_X_Pos,Kalman_Y_Pos
0,1528479744.930892,0.3601657927317082,0.24,-0.012678428671366301,-0.0026381178317099858
1,1528479744.934877,0.36065532660950994,0.24,-0.012135622974401761,-0.0027349356231973704
2,1528479744.938878,0.36116440060633087,0.24,-0.01158400040997461,-0.0028458033092862846
3,1528479744.942883,0.36167395995555013,0.24,-0.011031851927240295,-0.0029567766968992973
4,1528479744.946885,0.3621831552904706,0.24,-0.010480097883236353,-0.0030676708083692363
5,1528479744.950895,0.36269335166471267,0.24,-0.009927259132723885,-0.003178782929232628
6,1528479744.954883,0.36320075726266426,0.24,-0.009377444412477613,-0.0032892872663324536
7,1528479744.958888,0.36371031661188347,0.24,-0.008825295929743298,-0.0034002606539454664
8,1528479744.962894,0.36421999729920235,0.24,-0.008273015967432192,-0.003511260466939504
9,1528479744.966897,0.3647293139722224,0.24,-0.00772113044385146,-0.0036221810037904674
10,1528479744.970893,0.36523772060949555,0.24,-0.00717023101709666,-0.0037329033502837457
11,1528479744.974896,0.3657470372825157,0.24,-0.006618345493515928,-0.003843823887134709
12,1528479744.978898,0.3662562326174361,0.24,-0.006066591449511986,-0.003954717998604649
13,1528479744.9829,0.3667653976178317,0.24,-0.0055148702754022425,-0.004065605503729331
14,1528479744.986894,0.3672735615789057,0.24,-0.004964233807801026,-0.00417627499946056
15,1528479744.990902,0.36778351527694864,0.24,-0.00441165801644214,-0.004287334269561903
16,1528479744.994907,0.3682930746261679,0.24,-0.003859509533707825,-0.004398307657174916
17,1528479744.998914,0.3686118903989778,0.2403414976514838,-0.0033724689725916465,-0.0044988825813882345
18,1528479745.002908,0.3684455371029568,0.24154739323699317,-0.0030527860528731083,-0.004572623096442133
19,1528479745.006926,0.3682781808411467,0.24276055932477908,-0.002731175723001062,-0.0046468082027102415
20,1528479745.010911,0.36811220489859087,0.2439637194737884,-0.0024122179674986952,-0.0047203814458221605
21,1528479745.014926,0.36794497773138735,0.2451759497543506,-0.002090855720121655,-0.00479450932747854
22,1528479745.018909,0.36777908123166625,0.24637853402199147,-0.0017720506307700615,-0.004868047355444778
23,1528479745.022904,0.3676126882142279,0.24758471754818506,-0.001452291377976137,-0.004941805478071517
24,1528479745.026914,0.36744566958446556,0.24879543614015512,-0.0011313298792448756,-0.005015840919970486
25,1528479745.030918,0.367278899213562,0.2500043551028488,-0.0008108454622347797,-0.0050897663145392045
26,1528479745.034909,0.3671126650817932,0.25120938686630556,-0.0004913915417424012,-0.005163454006874584
27,1528479745.038942,0.3669446832076592,0.2524270880198679,-0.000168578965933018,-0.005237916432414922
28,1528479745.042928,0.366778667543686,0.25363053610956143,0.00015045512264473537,-0.005311507283099681
29,1528479745.046926,0.3666121454316411,0.25483765544297876,0.00047046245793366586,-0.00538532263033815
30,1528479745.050928,0.36644545450357224,0.256045998524304,0.0007907942087929886,-0.005459212809761188
31,1528479745.054927,0.36627889267011,0.25725340579840555,0.0011108778771573061,-0.005533045764572498
32,1528479745.058933,0.3661120428563716,0.2584629006424677,0.0014315149603181744,-0.005607006374286896
33,1528479745.062934,0.3659454015800745,0.2596708837979376,0.0017517512948332643,-0.005680874544243885
34,1528479745.066936,0.3657307722188858,0.26,0.002129474610520366,-0.00571532524817183
