The 3D marker tracked was used by the following settings:
Number of markers 3
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00401.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00401.png,246.3240740740741,619.7407407407408,313.15827338129503,284.6043165467626,444.19424460431657,611.8992805755396,478.0927152317881,291.6158940397351,514.1666666666666,379.48666666666674,543.777027027027,180.16216216216216
1,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00402.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00402.png,237.67796610169486,613.0762711864406,319.0,281.5701754385965,447.3076923076923,611.3516483516484,480.6071428571428,293.45238095238096,517.246835443038,370.24683544303804,545.604938271605,187.59876543209882
2,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00403.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00403.png,234.04790419161682,604.3592814371258,312.17424242424244,281.5909090909091,453.2383720930232,603.9534883720929,473.1221719457014,287.33484162895934,520.2384105960265,362.4304635761589,548.367469879518,185.34939759036143
3,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00404.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00404.png,234.81034482758625,594.9741379310344,309.2105263157895,278.3157894736842,448.5562130177515,597.9763313609467,473.75159235668787,287.6433121019108,525.2090909090911,358.7,551.7716894977169,185.4977168949772
4,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00405.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00405.png,230.6209677419355,593.5564516129032,305.2584269662921,280.0280898876405,445.344155844156,594.0584415584416,470.0294117647058,281.4950980392157,530.8247422680413,353.340206185567,553.6641791044776,185.11194029850745
5,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00406.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00406.png,228.46564885496184,592.4045801526718,304.62406015037595,275.1353383458647,441.84810126582283,589.8860759493672,469.7248322147651,282.8724832214765,526.530612244898,349.10884353741494,555.6699029126214,181.29611650485438
6,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00407.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00407.png,227.66447368421046,591.9342105263157,301.1497005988024,275.688622754491,438.020134228188,585.5771812080537,471.94078947368416,283.17105263157896,532.7469879518072,348.18674698795184,558.1075949367089,186.72784810126583
7,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00408.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00408.png,222.5625,594.1640625,301.234375,270.625,438.6069364161849,583.4797687861271,474.48611111111114,284.65972222222223,536.8670520231213,345.61271676300584,563.2465753424657,191.31506849315068
8,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00409.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00409.png,222.11666666666667,582.6666666666666,298.3776223776224,270.5524475524476,442.461038961039,583.3896103896103,466.2532751091703,277.57205240174665,545.3308823529412,348.75,566.3383458646616,195.22556390977445
9,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00410.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00410.png,218.0192307692308,583.5192307692307,298.9096774193548,265.6258064516129,437.3793103448277,577.4827586206898,467.1708860759494,279.03164556962025,543.8313253012049,350.28915662650604,569.2396694214876,201.0082644628099
10,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00411.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00411.png,215.6576576576577,583.4324324324324,296.49593495934965,264.9512195121951,434.814606741573,578.4494382022473,470.6081871345029,281.1812865497076,549.6518987341772,353.71518987341767,572.4788732394367,197.54929577464787
11,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00412.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00412.png,213.83035714285717,582.9732142857142,294.8666666666667,258.04,438.3352941176471,581.3176470588236,473.6323529411765,282.85294117647067,551.9733333333334,358.2866666666667,573.656,204.6
12,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00413.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00413.png,211.42222222222225,545.3555555555556,282.17543859649123,247.63157894736838,405.6639344262295,657.2213114754097,441.3305785123967,329.40495867768595,549.5882352941177,392.7647058823529,573.6953642384105,220.10596026490063
13,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00414.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00414.png,217.06140350877197,590.421052631579,297.728813559322,259.64406779661016,433.0153846153846,590.3897435897436,461.36065573770486,280.5245901639344,553.6686746987951,398.77710843373495,573.8486842105264,226.546052631579
14,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00415.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00415.png,219.59836065573768,585.4672131147541,297.3515625,262.0390625,428.7235772357724,598.9268292682926,465.1375,284.13125,549.9882352941177,410.4764705882353,574.2391304347826,234.07246376811597
15,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00416.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00416.png,215.41176470588238,588.1764705882352,298.81060606060606,263.6439393939394,430.99479166666674,597.734375,456.5235294117647,281.2705882352941,554.3584905660376,419.9182389937107,575.7569444444445,242.24305555555557
16,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00417.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00417.png,215.75912408759126,592.6642335766422,296.97115384615387,266.24038461538464,414.625,597.1764705882352,457.85405405405413,282.8648648648648,554.4427480916031,431.3587786259542,573.4228187919463,245.3020134228188
17,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00418.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00418.png,217.39506172839504,597.7530864197531,299.07534246575335,264.6575342465753,418.8,600.8,455.71502590673583,283.36787564766837,550.1842105263158,447.4912280701754,573.8630136986302,253.2123287671233
18,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00419.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00419.png,231.192,603.816,299.26490066225165,267.0794701986755,407.4245283018868,607.6792452830189,454.7988505747127,285.31609195402297,551.468085106383,457.0425531914893,573.2535211267607,259.7676056338028
19,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00420.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00420.png,233.37795275590548,601.6456692913385,298.7631578947368,269.60526315789474,403.75776397515534,602.3913043478261,451.85990338164254,286.7391304347826,549.2061855670104,466.37113402061857,573.476821192053,267.8079470198675
20,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00421.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00421.png,226.05454545454543,609.4181818181818,297.015503875969,268.29457364341084,408.2147651006712,606.5570469798657,451.68831168831167,288.54545454545456,547.629213483146,475.02247191011236,572.9830508474578,274.02542372881356
21,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00422.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00422.png,234.1533333333333,606.9466666666667,298.406015037594,272.16541353383457,405.46236559139777,613.6451612903227,452.73076923076917,290.75274725274727,544.2345679012345,479.0740740740741,572.2671232876713,280.89726027397256
22,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00423.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00423.png,237.83962264150944,602.6320754716983,295.4157303370786,270.2921348314606,405.4943181818182,609.0568181818181,452.90344827586205,291.97931034482764,552.125,490.03125,571.6052631578948,287.57894736842104
23,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00424.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00424.png,234.32330827067668,595.6917293233082,302.1021897810219,275.8686131386861,406.5460992907802,613.7730496453901,452.36090225563913,292.2781954887218,547.8441558441558,503.4675324675325,571.5597014925372,293.8582089552238
24,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00425.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00425.png,236.15702479338842,595.694214876033,295.3047619047619,269.45714285714286,404.86046511627916,609.3313953488373,453.28571428571433,292.77443609022555,549.1772151898733,512.4683544303798,571.3717948717949,299.5064102564103
25,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00426.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00426.png,236.23076923076923,595.2478632478633,300.9327731092437,272.9075630252101,406.5748502994012,611.9880239520958,452.7878787878788,291.45454545454544,549.05,519.65,571.2095808383234,305.1077844311377
26,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00427.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00427.png,238.95890410958904,588.7328767123287,297.9891304347826,266.55434782608694,406.71686746987956,613.4277108433735,452.81502890173414,290.8786127167631,554.5058823529412,522.3764705882353,570.7785234899328,311.1879194630872
27,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_59_11/frame00428.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_59_11/frame00428.png,238.48275862068962,589.9586206896553,306.07142857142856,270.08035714285717,406.7967479674797,617.8373983739838,453.33707865168543,290.02247191011236,551.9294605809129,530.2489626556016,570.7891156462587,317.21768707482994
