The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,,,,,,,,,
Number of markers 5,,,,,,,,,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13,,,,,,,,,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00000.png,155.8424242,1520.557576,143.72,1047.544,234.0744681,1641.425532,220.9483871,1179.903226,399.503268,1504.313725,389.7678571,1075.517857,480.1964286,1593.142857,480.2893082,1273.119497,556.4352332,1537.036269,551.8913043,1193.744565
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00001.png,152.9797297,1516.162162,142.9803922,1043.176471,227.3880597,1629.910448,219.4188482,1181.382199,398.755102,1503.659864,388.6851852,1073.993827,481.4078947,1593.921053,462.8842975,1282.77686,554.8318182,1540.177273,550.4086957,1197.778261
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00002.png,154.0388769,1515.12743,143.300578,1043.150289,228.0813397,1630.5311,215.5987055,1181.970874,397.8201058,1501.650794,388.6428571,1073.67033,479.7453416,1596.73913,460.4066667,1282.486667,562.6470588,1542.630252,547.5572139,1204.890547
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00003.png,154.0857788,1513.882619,143.7744361,1041.974937,226.0314136,1627.602094,213.8486239,1174.479358,398.5359116,1502.171271,387.8965517,1073.494253,478.2547771,1598.592357,456.9120879,1283.604396,563.0571429,1546.580952,550.7362637,1203.357143
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00004.png,153.7505568,1511.835189,143.8362283,1040.292804,232.5966667,1635.7,211.9829684,1173.530414,395.9947368,1500.042105,387.9326425,1073.46114,473.8455285,1600.528455,455.5663717,1287.814159,561.8067227,1548.327731,546.2924528,1211.603774
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00005.png,153.5216495,1509.039175,143.3640777,1038.308252,232.5971223,1636.151079,212.4976415,1175.707547,396.2574257,1500.108911,386.3681319,1072.406593,466.4776119,1605.910448,456.043956,1294.296703,561.9044118,1549.985294,542.3130435,1217.226087
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00006.png,153.0792952,1507.830396,142.6926829,1036.404878,223.7042683,1625.920732,212.7832898,1176.336815,394.4886364,1498.886364,385.5028249,1072.40113,469.5481481,1605.111111,451.7956204,1291.992701,560.6328125,1555.171875,545.2417062,1217.464455
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00007.png,151.2601279,1503.375267,141.8905473,1034.288557,225.3960396,1626.359736,209.8217054,1173.950904,392.5176471,1497.523529,384.0346821,1071.433526,469.2352941,1605.789916,448.7078652,1297.359551,552.5884956,1558.99115,547.4690722,1217.520619
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00008.png,150.2551253,1501.013667,141.0335731,1031.541966,223.1672241,1624.749164,208.4330484,1172.894587,391.8282828,1496.631313,381.6204819,1069.168675,466.9545455,1606.727273,446.8680556,1295.798611,549.9823529,1562.176471,546.0567686,1224.790393
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00009.png,149.944664,1497.679842,140.2313253,1029.012048,226.7518519,1629.540741,205.8582677,1169.939633,389.5254237,1494.79661,378.4242424,1066.163636,463.5185185,1608.351852,444.672956,1294.660377,551.8776371,1564.455696,543.0978261,1228.548913
10,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00010.png,148.8178295,1494.193798,139.239905,1025.857482,232.9191176,1631.272059,205.9365559,1170.148036,387.3314917,1492.574586,374.188172,1061.494624,460.1747573,1609.776699,442.288,1297.104,557.0826446,1566.570248,542.0220264,1229.77533
11,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00011.png,147.1380753,1490.458159,138.1487805,1022.746341,230.0823529,1622.652941,200.2431694,1158.45082,384.7916667,1489.680556,371.9526316,1059.184211,458.3796296,1610.851852,439.4636872,1294.49162,550.5770925,1570.295154,540.0611111,1235.233333
