The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,
Number of markers 5,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00000.png,250.4245283,1326.207547,258.6733333,983.8866667,400.1460674,1347.179775,400.480226,1025.101695,522.2894737,1218.963158,535.8956522,970.7304348
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00001.png,253.9702381,1320.440476,253.0769231,985.9145299,397.768595,1356.008264,392.6129032,1018.367742,520.5,1226.111111,521.1157025,982.6363636
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00002.png,249.4245283,1324.764151,257.6148649,989.8648649,396.7762238,1358.783217,385.2833333,1017.233333,520.6836158,1232.638418,519.6850394,988.1574803
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00003.png,260.6083333,1329.033333,258.9625,986.60625,392.8396947,1358.694656,388.1597222,1018.055556,521.1872146,1238.849315,518.4859813,994.411215
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00004.png,265.5034965,1338.832168,256.5102041,980.7346939,391.3191489,1361.411348,388.3878788,1023.569697,520.1621622,1246.175676,518.9166667,1002.12037
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00005.png,261.0916031,1339.099237,254.6814815,982.7481481,390.141844,1363.64539,389.826087,1027.596273,521.4245283,1253.061321,519.0192308,1008.548077
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00006.png,263.3966942,1339.413223,252.2827586,985.3034483,395.7539683,1369.198413,386.7957746,1026.535211,522.9396985,1259.21608,519.4247788,1015.380531
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00007.png,260.1496599,1338.62585,256.9448819,990.8031496,399.0705128,1374.179487,392.703125,1031.848958,525.9558824,1266.352941,520.2616822,1022.205607
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00008.png,255.5177305,1335.06383,254.7534247,995.5136986,397.0815217,1374.967391,389.1354839,1031.380645,524.8811189,1273.671329,522.4350649,1032.12987
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00009.png,246.8559322,1329.135593,256.3153846,996.1769231,400.0909091,1380.438017,384.8275862,1030.057471,513.3103448,1278.103448,517.2432432,1034.432432
10,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00010.png,245.6936416,1329.583815,253.8235294,992.1764706,396.3647799,1379.924528,390.7642857,1035.914286,520.9367089,1279.265823,516.2884615,1040.432692
11,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00011.png,242.8571429,1330.882353,253.71875,997.225,391.52,1379.354286,384.079096,1034.163842,516.3536585,1289.170732,517.77,1048.55
12,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00012.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00012.png,242.4033613,1333.302521,251.254902,993.1176471,394.5212766,1385.090426,386.7965116,1039.098837,513.5448718,1296.044872,520.9814815,1059.506173
13,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00013.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00013.png,241.1081081,1340.006757,250.5144928,996.6521739,398.2461538,1391.989744,389.0704225,1044.232394,512.9186992,1305.552846,516.2068966,1061.793103
14,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00014.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00014.png,251.4358974,1338.350427,249.7593985,1000.037594,401.5782313,1400.081633,385.4527027,1045.912162,509.6513761,1314.522936,515.5714286,1070.651786
15,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00015.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00015.png,257.916129,1344.43871,256.8639053,994.8816568,400.2919708,1401.554745,385.8267717,1050.614173,512.7251908,1319.977099,514.8795181,1076.072289
16,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00016.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00016.png,256.170068,1350.619048,259.7925926,996.9037037,398.9222222,1404.016667,385.0300752,1054.052632,510.376,1328.16,516.8489209,1086.776978
17,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00017.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00017.png,258.25,1350.228571,257.2547771,1000.43949,401.5251799,1413.647482,381.7777778,1056.423611,519.4594595,1337.005405,517.4485981,1097.570093
18,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00018.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00018.png,258.2755906,1355.173228,255.8944099,1005.136646,399.1506024,1414.746988,381.6940299,1061.19403,517.7101449,1343.603865,517.8142857,1109.1
19,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00019.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00019.png,254.4193548,1361.883871,258.1678322,1005.545455,398.4868421,1417.046053,386.2403101,1068.379845,517.9555556,1350.2,518.6325301,1110.939759
