The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00000.png,53.85227272727273,808.9375,158.7872340425532,579.5248226950355,60.706896551724135,852.3189655172414,246.06410256410257,676.4038461538462,102.07518796992481,981.1804511278195,389.82758620689657,566.9655172413793,202.95714285714286,1104.4714285714285,510.5978835978836,686.973544973545,358.3,936.7125,563.6045454545455,597.4045454545454
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00001.png,116.04794520547945,986.5890410958905,162.34299516908214,579.5458937198068,224.90977443609023,1111.3233082706768,246.32258064516128,665.0591397849462,370.44444444444446,936.0588235294117,392.314465408805,567.1446540880503,452.5098039215686,922.156862745098,511.44871794871796,690.2628205128206,450.59183673469386,888.3367346938776,561.2786885245902,603.7049180327868
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00002.png,116.65775401069519,986.5935828877006,165.70029673590506,576.6557863501483,246.91989664082686,1182.9095607235142,252.2340425531915,670.3510638297872,372.6666666666667,936.474358974359,394.43715846994536,566.7486338797814,522.1470588235294,879.9705882352941,512.3833333333333,693.6666666666666,522.7916666666666,879.8888888888889,558.4,608.5466666666666
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00003.png,122.1907514450867,989.5895953757225,165.26315789473682,574.6917293233082,229.97333333333333,1100.5533333333333,257.0314465408805,666.4213836477987,365.37254901960785,937.7516339869281,397.91358024691357,567.3888888888889,498.08474576271186,968.6271186440678,508.24064171122996,694.620320855615,551.7803921568627,881.6078431372549,562.1780821917808,606.2054794520548
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00004.png,119.24489795918367,985.2204081632653,169.17482517482517,572.9055944055945,196.40104166666666,1089.6458333333333,257.46781115879827,670.8218884120172,369.468085106383,938.0478723404256,398.12345679012344,566.8456790123457,498.6666666666667,970.5376344086021,502.4375,696.5375,551.1908396946565,885.9351145038167,562.2767857142857,610.03125
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00005.png,121.20043103448276,986.3297413793103,169.01328903654485,571.5182724252492,210.35693215339234,1100.0206489675516,245.07769423558898,655.3784461152882,371.2102564102564,938.6205128205128,399.2625,566.6375,486.4778761061947,978.5840707964602,505.4689265536723,700.819209039548,551.844696969697,889.7424242424242,562.139344262295,612.1967213114754
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00006.png,120.8326359832636,986.9853556485356,169.98039215686273,570.0098039215686,211.53462603878117,1101.0387811634348,244.52282157676348,651.0746887966804,370.76363636363635,939.1515151515151,400.1948051948052,566.7142857142857,489.14285714285717,982.1801242236024,504.6077348066298,704.3977900552486,551.4556451612904,894.0403225806451,561.2486772486773,618.5555555555555
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00007.png,122.76681614349775,988.103139013453,171.54924242424244,568.7840909090909,210.31578947368422,1100.1359649122808,244.30225988700565,651.2598870056497,372.37696335078533,939.9842931937172,400.840490797546,566.7730061349694,492.32758620689657,981.3189655172414,502.3,704.8416666666667,551.2350746268656,898.0932835820895,564.0502793296089,616.8156424581006
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00008.png,123.44654088050314,988.5429769392033,171.46774193548387,567.6967741935484,206.37164750957854,1098.6819923371647,244.54261363636363,650.7215909090909,373.9476439790576,940.7539267015707,402.2202380952381,567.5595238095239,493.0149253731343,984.7537313432836,497.7435897435897,709.6153846153846,551.7701149425287,902.0842911877395,561.394495412844,624.4449541284404
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00009.png,124.34468937875752,989.440881763527,172.9290780141844,566.2446808510638,205.17567567567568,1100.4391891891892,245.19526627218934,650.4585798816568,375.1887755102041,942.5255102040817,402.2439024390244,567.5365853658536,494.9,990.4166666666666,501.296,710.0,549.4158415841584,906.6138613861386,563.2178217821782,623.3118811881188
