The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,
Number of markers 3,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00000.png,336.4285714,841.3051948,294.5914634,1169.865854,487.3858268,950.5433071,464.8342541,1223.994475,555.7932961,985.4413408,536.1237624,1188.445545
1,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00001.png,331.2342857,844.9771429,287.5657895,1182.651316,486.9130435,956.2391304,474.3809524,1219.142857,568.6131387,982.2189781,536.5869565,1200.5
2,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00002.png,324.5355191,845.2295082,281.837037,1181.340741,485.975,951.05,474.7341772,1221.727848,557.3691589,984.5981308,535.1344538,1205.613445
3,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00003.png,324.2881356,843.1751412,281.2777778,1180.238095,485.618705,956.2014388,474.6265823,1223.531646,564.6090909,985.3545455,537.7747748,1209.423423
4,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00004.png,325.2408377,841.2408377,281.9928058,1178.582734,484.3652174,958.626087,474.2903226,1225.129032,565.6927374,991.8379888,531.7789474,1213.715789
5,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00005.png,326.8125,838.7604167,281.6733333,1175.62,484.0254777,952.5414013,473.7283951,1226.481481,565.2,996.1111111,537.0606061,1211.80303
6,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00006.png,328.1481481,836.2433862,287.0510949,1178.335766,483.8090909,956.9272727,473.3170732,1227.731707,565.0606061,999.3560606,531.1932773,1209.336134
7,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00007.png,324.7467532,834.3441558,281.4452555,1173.065693,482.602649,950.2119205,472.617284,1228.919753,562.6453901,1002.092199,532.8518519,1218.790123
8,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00008.png,328.0721649,831.2783505,281.4074074,1168.296296,481.7635135,952.4324324,471.7763975,1230.099379,563.8955224,1005.522388,532.6666667,1224.551724
9,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00009.png,329.1693989,827.8797814,289.3875,1169.16875,481.4190476,954.952381,470.2047244,1227.677165,561.6083916,1005.909091,535.6989247,1226.709677
