The 3D marker tracked was used by the following settings:
Number of markers 3
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00000.png,223.94805194805195,1018.4805194805194,257.55194805194805,622.012987012987,390.8333333333333,976.0933333333334,401.475935828877,631.6844919786096,496.2535211267606,744.037558685446,524.1814345991561,509.52742616033754
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00001.png,215.59154929577466,1013.9154929577464,261.6577181208054,622.7114093959732,380.832,975.696,404.1137724550898,631.4790419161677,501.4556213017751,749.0355029585799,524.620320855615,510.7647058823529
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00002.png,218.5948275862069,1006.5948275862069,261.78823529411767,619.8882352941176,388.34065934065933,972.8846153846154,403.3762376237624,634.4950495049505,498.3939393939394,755.4242424242424,527.728813559322,513.0225988700565
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00003.png,227.59016393442624,1007.1311475409836,262.27878787878785,615.1151515151515,389.8642857142857,973.6,409.0802139037433,631.1978609625669,500.18045112781954,761.1428571428571,526.0526315789474,516.5350877192982
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00004.png,225.55244755244755,996.4755244755245,256.05454545454546,621.6787878787878,384.42138364779873,974.8616352201258,406.85611510791364,627.8561151079136,507.1858407079646,768.2389380530974,528.9504132231405,523.4793388429753
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00005.png,220.52173913043478,997.7652173913043,253.0569105691057,623.5934959349594,379.44594594594594,975.6959459459459,396.521327014218,626.9336492890995,514.09375,768.59375,532.198275862069,530.3965517241379
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00006.png,222.16822429906543,997.6728971962617,257.5405405405405,621.2432432432432,378.28834355828224,978.1226993865031,398.05442176870747,625.5714285714286,525.2660098522167,775.4926108374384,535.3333333333334,536.9666666666667
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00007.png,225.97674418604652,999.5116279069767,260.1875,626.0703125,377.9177215189873,980.5632911392405,398.6449275362319,628.1739130434783,528.2475247524752,783.7178217821782,539.9918699186992,543.260162601626
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00008.png,223.2406015037594,991.624060150376,264.2739726027397,621.9657534246576,382.0,983.3046357615895,400.24725274725273,632.8021978021978,528.5730994152046,789.2280701754386,550.5882352941177,551.2764705882353
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_42_28/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_42_28/frame00009.png,224.2781954887218,993.1428571428571,255.59310344827585,624.1586206896552,381.4331210191083,981.4267515923567,397.5833333333333,629.7962962962963,532.2028985507246,797.2173913043479,553.1951219512196,557.1280487804878
