The 3D marker tracked was used by the following settings:
Number of markers 3
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00000.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00000.png,225.34265734265733,413.53146853146853,312.2654867256637,201.46902654867256,414.76146788990826,488.7155963302752,456.49162011173183,237.87709497206703,499.20512820512823,379.0576923076923,533.7777777777778,221.14814814814815
1,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00001.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00001.png,228.1830985915493,414.9577464788732,313.7888198757764,197.68944099378882,406.95862068965516,483.6,459.1823899371069,233.75471698113208,507.04411764705884,348.9485294117647,534.7670454545455,207.29545454545456
2,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00002.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00002.png,239.0,420.05625,313.67105263157896,197.80263157894737,415.4468085106383,478.6099290780142,449.11392405063293,224.3354430379747,500.09615384615387,334.6442307692308,540.7593984962406,192.51127819548873
3,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00003.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00003.png,243.13953488372093,414.7829457364341,310.4189944134078,198.69832402234636,422.24264705882354,479.0147058823529,456.56,223.38285714285715,500.2,323.5,540.8050847457628,182.66949152542372
4,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00004.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00004.png,243.3015873015873,411.8174603174603,317.5466666666667,193.22,422.57062146892656,469.0621468926554,461.7134146341463,221.3780487804878,507.4761904761905,301.42063492063494,531.9,184.64375
5,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00005.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00005.png,238.53892215568862,414.6826347305389,317.1654676258993,194.31654676258992,425.9861111111111,466.1736111111111,465.9171974522293,219.84713375796179,507.58196721311475,288.827868852459,533.280487804878,178.35365853658536
6,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00006.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00006.png,244.696,408.744,313.43646408839777,194.0718232044199,424.4927536231884,457.1159420289855,473.4327485380117,219.30409356725147,509.28,277.48,535.268115942029,172.18840579710144
7,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00007.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00007.png,243.13953488372093,413.0077519379845,319.9214285714286,191.1642857142857,429.0357142857143,454.98809523809524,478.530303030303,218.28030303030303,506.45652173913044,277.0144927536232,537.48322147651,170.06040268456377
8,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00008.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00008.png,238.94117647058823,416.6470588235294,314.64285714285717,191.39795918367346,432.2448979591837,452.7755102040816,474.3859649122807,214.71345029239765,507.4848484848485,268.49242424242425,539.4910179640718,162.5868263473054
9,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00009.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00009.png,242.46666666666667,412.05833333333334,318.61870503597123,188.87769784172662,432.1810344827586,449.41379310344826,468.81714285714287,210.74285714285713,509.6979865771812,264.38926174496646,541.6835443037975,162.3227848101266
